Date,Titre,Candidat,lien
03/02/19,Exclusif : Sokhna Ndèye Mbacké vote Idrissa Seck - Leral,Idrissa Seck,https://www.leral.net/Exclusif-Sokhna-Ndeye-Mbacke-vote-Idrissa-Seck_a242397.html
03/02/19,"Abdoulaye Ndiaye : ""Idrissa Seck sera président le 24 février"" - Leral",Idrissa Seck,https://www.leral.net/Abdoulaye-Ndiaye-Idrissa-Seck-sera-president-le-24-fevrier_a242371.html
04/02/19,Idrissa Seck : « Macky Sall s'est attaqué sauvagement au président ...,Idrissa Seck,https://www.leral.net/Idrissa-Seck-Macky-Sall-s-est-attaque-sauvagement-au-president-Wade-qui-lui-a-tout-donne_a242428.html
04/02/19,ELECTION PRÉSIDENTIELLE 2019 : IDRISSA SECK - COALITION ...,Idrissa Seck,https://www.leral.net/ELECTION-PRESIDENTIELLE-2019-IDRISSA-SECK-COALITION-IDY-2019_a242412.html
04/02/19,Idrissa Seck : « Macky Sall s'est attaqué sauvagement au président ...,Idrissa Seck,https://www.leral.net/Idrissa-Seck-Macky-Sall-s-est-attaque-sauvagement-au-president-Wade-qui-lui-a-tout-donne_a242428.html
04/02/19,Les Wade refusent leur soutien à Idrissa Seck (Par Madiambal Diagne),Idrissa Seck,https://www.leral.net/%E2%80%8BLes-Wade-refusent-leur-soutien-a-Idrissa-Seck-Par-Madiambal-Diagne_a242461.html
04/02/19,Thiès - Idrissa Seck: «On ne dirige pas le Sénégal par la force et le ...,Idrissa Seck,https://www.leral.net/Thies-Idrissa-Seck-On-ne-dirige-pas-le-Senegal-par-la-force-et-le-Niangal_a242485.html
04/02/19,Dernière minute: Télescopage avec Ousmane Sonko à Kaolack ...,Idrissa Seck,https://www.leral.net/Derniere-minute-Telescopage-avec-Ousmane-Sonko-a-Kaolack-Idrissa-Seck-annule-son-meeting-_a242465.html
05/02/19,VIDEO - Présidentielle 2019 : Idrissa Seck chez le Khalife Général de ...,Idrissa Seck,https://www.leral.net/VIDEO-Presidentielle-2019-Idrissa-Seck-chez-le-Khalife-General-de-Thienaba-pour-recueillir-des-prieres_a242554.html
05/02/19,"VIDEO - Idrissa Seck : ""Khombole est la ville la plus trahie par le ...",Idrissa Seck,https://www.leral.net/VIDEO-Idrissa-Seck-Khombole-est-la-ville-la-plus-trahie-par-le-President-Macky-Sall_a242558.html
05/02/19,VIDEO - Les promesses de Idrissa Seck à Ndangalma - Leral,Idrissa Seck,https://www.leral.net/VIDEO-Les-promesses-de-Idrissa-Seck-a-Ndangalma_a242590.html
05/02/19,Campagne Électorale: Les images de Idrissa Seck à Gossas - Leral,Idrissa Seck,https://www.leral.net/Campagne-Electorale-Les-images-de-Idrissa-Seck-a-Gossas_a242582.html
05/02/19,"Idrissa Seck : « mon plus grand chantier, c'est la question de l'eau »",Idrissa Seck,https://www.leral.net/Idrissa-Seck-mon-plus-grand-chantier-c-est-la-question-de-l-eau_a242534.html
05/02/19,Présidentielle 2019 : Idrissa Seck reçu par le Khalife général de ...,Idrissa Seck,https://www.leral.net/Presidentielle-2019-Idrissa-Seck-recu-par-le-Khalife-general-de-Thienaba_a242556.html
05/02/19,Dernière minute: Abdoul Mbaye et Mamadou Lamine Diallo rejoignent ...,Idrissa Seck,https://www.leral.net/Derniere-minute-Abdoul-Mbaye-et-Mamadou-Lamine-Diallo-rejoignent-Idrissa-Seck_a242542.html
05/02/19,"Thierno Bocoum: ""Abdoulaye Wade va soutenir Idrissa Seck"" - Leral",Idrissa Seck,https://www.leral.net/Thierno-Bocoum-Abdoulaye-Wade-va-soutenir-Idrissa-Seck_a242588.html
06/02/19,C'est décidé ! Gueum Sa Bopp soutient la candidature d'Idrissa Seck.,Idrissa Seck,https://www.leral.net/C-est-decide--Gueum-Sa-Bopp-soutient-la-candidature-d-Idrissa-Seck_a242689.html
06/02/19,Présidentielle 2019 : Le maire de Sokone rejoint Idrissa Seck ! - Leral,Idrissa Seck,https://www.leral.net/Presidentielle-2019-Le-maire-de-Sokone-rejoint-Idrissa-Seck-_a242661.html
06/02/19,"VIDEO- Capitaine Dièye : ""Pourquoi j'ai choisi de soutenir Idrissa Seck""",Idrissa Seck,https://www.leral.net/VIDEO-Capitaine-Dieye-Pourquoi-j-ai-choisi-de-soutenir-Idrissa-Seck_a242654.html
06/02/19,VIDEO - Kaolack : Idrissa Seck décline les 3 axes majeurs de son ...,Idrissa Seck,https://www.leral.net/VIDEO-Kaolack-Idrissa-Seck-decline-les-3-axes-majeurs-de-son-programme_a242617.html
07/02/19,"VIDEO - Depuis Sokone, Idrissa Seck signe la plateforme de réformes ...",Idrissa Seck,https://www.leral.net/VIDEO-Depuis-Sokone-Idrissa-Seck-signe-la-plateforme-de-reformes-pour-ameliorer-la-bonne-gouvernance_a242720.html
07/02/19,Arrêt sur images - Idrissa Seck et Issa Sall se rencontrent à Kaffrine et...,Idrissa Seck,https://www.leral.net/Arret-sur-images-Idrissa-Seck-et-Issa-Sall-se-rencontrent-a-Kaffrine-et_a242766.html
