Date,Titre,Candidat,lien
15 févr. 2019,"Idrissa Seck : ""Ce que le médecin m'a dit après 12 jours de campagne""",Idrissa Seck,http://www.seneweb.com/news/Politique/idrissa-seck-quot-ce-que-le-medecin-m-a-_n_273825.html
14 févr. 2019,"Idrissa Seck : ""Pour ma Saint-Valentin…"" - Seneweb",Idrissa Seck,http://www.seneweb.com/news/Politique/idrissa-seck-nbsp-quot-pour-ma-saint-val_n_273783.html
14 févr. 2019,"Pour répondre aux attaques de Idrissa Seck , Samba Thioub ...",Idrissa Seck,http://www.seneweb.com/news/Politique/pour-repondre-aux-attaques-de-idrissa-se_n_273771.html
14 févr. 2019,"Cheikh Guèye : ""Pourquoi Khalifa Sall soutient Idrissa Seck"" - Seneweb",Idrissa Seck,http://www.seneweb.com/news/Politique/cheikh-gueye-quot-pourquoi-khalifa-sall-_n_273749.html
13 févr. 2019,"Idrissa Seck à la Une du ""Soleil""… - Seneweb",Idrissa Seck,http://www.seneweb.com/news/M%C3%A9dias/medias-idrissa-seck-a-la-une-du-laquo-so_n_273656.html
13 févr. 2019,"Idrissa Seck: ""Le nom de Macky SALL est synonyme de pauvreté""",Idrissa Seck,http://www.seneweb.com/news/Politique/idrissa-seck-quot-le-nom-de-macky-sall-e_n_273662.html
13 févr. 2019,Casamance : Idrissa Seck promet la restauration complète de la paix ...,Idrissa Seck,http://www.seneweb.com/news/Politique/casamance-idrissa-seck-promet-la-restaur_n_273651.html
12 févr. 2019,"Violences, sécurité des candidats :La réaction d'Idrissa Seck",Idrissa Seck,http://seneweb.com/news/Politique/violences-securite-des-candidats-la-reac_n_273571.html
12 févr. 2019,Chasse aux électeurs : Idrissa Seck drague la grande muette - Seneweb,Idrissa Seck,http://www.seneweb.com/news/Politique/chasse-aux-electeurs-nbsp-idrissa-seck-d_n_273499.html
12 févr. 2019,LA POLITIQUE SOCIALE DE IDRISSA SECK - Seneweb,Idrissa Seck,http://www.seneweb.com/blogs/niteka/la-politique-sociale-de-idrissa-seck_b_540.html
11 févr. 2019,Idrissa Seck plaide la valorisation du traitement des forces de défense,Idrissa Seck,http://www.seneweb.com/news/Politique/idrissa-seck-plaide-la-valorisation-du-t_n_273452.html
11 févr. 2019,"Idrissa Seck : ""Les axes majeurs de notre politique environnementale""",Idrissa Seck,http://www.seneweb.com/news/Video/idrissa-seck-quot-les-axes-majeurs-de-no_n_273446.html
11 févr. 2019,Abdou Mbow humilie Idrissa Seck - Seneweb.com,Idrissa Seck,http://seneweb.com/news/Politique/abdou-mbow-humilie-idrissa-seck_n_273402.html
11 févr. 2019,Quand Zoss vole la vedette à Idrissa Seck à Diana - Seneweb.com,Idrissa Seck,http://seneweb.com/news/Politique/quand-zoss-vole-la-vedette-a-idrissa-sec_n_273463.html
9 févr. 2019,"Idrissa Seck : ""Je me réjouis du soutien de Khalifa Sall"" [Vidéo]",Idrissa Seck,http://www.seneweb.com/news/Politique/idrissa-seck-quot-je-me-rejouis-du-souti_n_273236.html
8 févr. 2019,Présidentielle 2019 : Khalifa Sall soutient Idrissa Seck - Seneweb,Idrissa Seck,http://www.seneweb.com/news/Politique/presidentielle-2019-khalifa-sall-soutien_n_273170.html
